update,timesteps,episodes,seeker_reward_mean,seeker_reward_std,hider_reward_mean,hider_reward_std,episode_length_mean,seeker_win_rate,hider_win_rate,seeker_policy_loss,seeker_value_loss,hider_policy_loss,hider_value_loss,fps
10,163840,942,-0.47852427,8.446162,1.314925,8.375724,154.84713375796179,0.3895966029723992,0.6104033970276008,-0.047675274312496185,0.32165130972862244,-0.050415389239788055,0.31973960995674133,1811.7964002653405
20,327680,2514,5.954013,7.3829,-4.986922,7.4471545,106.3969465648855,0.7531806615776081,0.24681933842239187,-0.045625489205121994,0.6090625524520874,-0.05080235376954079,0.5918972492218018,1929.6218624452179
30,491520,5380,9.999533,2.2017643,-9.142282,2.2727816,58.974877878576415,0.9832519190509421,0.01674808094905792,-0.043257877230644226,0.9578843116760254,-0.04364756494760513,0.9405661225318909,1756.8066923105246
31,507904,5638,10.237098,1.0625019,-9.3870535,1.1398311,55.093023255813954,0.9961240310077519,0.003875968992248062,-0.04288995638489723,0.760504961013794,-0.05088357999920845,0.7383904457092285,1749.2135184134202
