seeker_id,hider_id,seeker_reward,seeker_A,seeker_seed,seeker_source,hider_reward,hider_A,hider_seed,hider_source,n,wins,wr,ci_lo,ci_hi,stage_reached,self_pair
1,7,R4_sparse,0.0,1,grid,R4_sparse,0.5,2,grid,100,21,0.21,0.14165654061915303,0.29979968834089865,3,0
1,8,R4_sparse,0.0,1,grid,R4_sparse,0.5,3,grid,100,10,0.1,0.0552291370606751,0.17436566150491345,3,0
1,9,R4_sparse,0.0,1,grid,R4_sparse,0.5,4,grid,100,26,0.26,0.18404698464748132,0.3537098944918718,3,0
1,10,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.0,0,grid,100,11,0.11,0.06254196357064568,0.18631296503080313,3,0
1,11,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.0,1,grid,100,15,0.15,0.09305985283656631,0.23283559590832364,3,0
1,12,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.0,2,grid,100,68,0.68,0.5833738138954762,0.7633085267500092,3,0
1,13,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.0,3,grid,100,22,0.22,0.15001282384605402,0.31070353514985793,3,0
1,14,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.0,4,grid,100,47,0.47,0.3751081795934127,0.5671114302990063,3,0
1,15,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.0,5,grid,100,38,0.38,0.29097599252478734,0.47790244704488916,3,0
1,16,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.0,6,grid,100,28,0.28,0.20139685211186212,0.3748802870992116,3,0
1,17,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.0,7,grid,100,21,0.21,0.14165654061915303,0.29979968834089865,3,0
1,18,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.0,8,grid,100,13,0.13,0.07757167427240512,0.20980351440076428,3,0
1,19,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.5,0,grid,100,9,0.09,0.04807254000256516,0.1622621285271631,3,0
1,20,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.5,1,grid,100,43,0.43,0.33733298524110106,0.5278461045078768,3,0
1,21,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.5,2,grid,100,16,0.16,0.10095288488804782,0.24420269389270244,3,0
1,22,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.5,3,grid,100,35,0.35,0.26364248243097527,0.44745556703112027,3,0
1,23,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.5,4,grid,100,26,0.26,0.18404698464748132,0.3537098944918718,3,0
1,24,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.5,5,grid,100,15,0.15,0.09305985283656631,0.23283559590832364,3,0
1,25,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.5,6,grid,100,29,0.29,0.2101483574912227,0.3853889117557111,3,0
1,26,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.5,7,grid,100,44,0.44,0.34672026630160796,0.5377189534832302,3,0
1,27,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.5,8,grid,100,27,0.27,0.1926958414957634,0.36432116767944994,3,0
1,28,R4_sparse,0.0,1,grid,R4_sparse,0.0,42,anchor,100,21,0.21,0.14165654061915303,0.29979968834089865,3,0
1,29,R4_sparse,0.0,1,grid,R4_sparse,0.5,42,anchor,100,14,0.14,0.08526343659939135,0.22137188210963837,3,0
1,30,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.0,42,anchor,100,17,0.17,0.10893566114059931,0.25548004767601123,3,0
1,31,R4_sparse,0.0,1,grid,R7_kitchen_sink,0.5,42,anchor,100,10,0.1,0.0552291370606751,0.17436566150491345,3,0
2,0,R4_sparse,0.0,2,grid,R4_sparse,0.0,0,grid,100,59,0.59,0.4920143005341078,0.6813268697886348,3,0
2,1,R4_sparse,0.0,2,grid,R4_sparse,0.0,1,grid,100,54,0.54,0.44264860323368227,0.6343919169097589,3,0
2,2,R4_sparse,0.0,2,grid,R4_sparse,0.0,2,grid,100,43,0.43,0.33733298524110106,0.5278461045078768,3,1
2,3,R4_sparse,0.0,2,grid,R4_sparse,0.0,3,grid,100,30,0.3,0.2189488529493276,0.3958485463334666,3,0
2,4,R4_sparse,0.0,2,grid,R4_sparse,0.0,4,grid,100,25,0.25,0.17545211362287674,0.34304463548061603,3,0
2,5,R4_sparse,0.0,2,grid,R4_sparse,0.5,0,grid,100,30,0.3,0.2189488529493276,0.3958485463334666,3,0
2,6,R4_sparse,0.0,2,grid,R4_sparse,0.5,1,grid,100,31,0.31,0.22779697212376038,0.40626055719489407,3,0
2,7,R4_sparse,0.0,2,grid,R4_sparse,0.5,2,grid,100,10,0.1,0.0552291370606751,0.17436566150491345,3,0
2,8,R4_sparse,0.0,2,grid,R4_sparse,0.5,3,grid,100,43,0.43,0.33733298524110106,0.5278461045078768,3,0
2,9,R4_sparse,0.0,2,grid,R4_sparse,0.5,4,grid,100,20,0.2,0.13336693333103253,0.28882916559315885,3,0
2,10,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.0,0,grid,100,12,0.12,0.0699940643701949,0.19812099426711421,3,0
2,11,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.0,1,grid,100,11,0.11,0.06254196357064568,0.18631296503080313,3,0
2,12,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.0,2,grid,100,11,0.11,0.06254196357064568,0.18631296503080313,3,0
2,13,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.0,3,grid,100,17,0.17,0.10893566114059931,0.25548004767601123,3,0
2,14,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.0,4,grid,100,13,0.13,0.07757167427240512,0.20980351440076428,3,0
2,15,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.0,5,grid,100,8,0.08,0.041093461484380624,0.14998107700948735,3,0
2,16,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.0,6,grid,100,14,0.14,0.08526343659939135,0.22137188210963837,3,0
2,17,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.0,7,grid,100,21,0.21,0.14165654061915303,0.29979968834089865,3,0
2,18,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.0,8,grid,100,14,0.14,0.08526343659939135,0.22137188210963837,3,0
2,19,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.5,0,grid,100,8,0.08,0.041093461484380624,0.14998107700948735,3,0
2,20,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.5,1,grid,100,7,0.07,0.03431926106727268,0.137495147390735,3,0
2,21,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.5,2,grid,100,18,0.18,0.11700225498946351,0.2666735838630073,3,0
2,22,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.5,3,grid,100,12,0.12,0.0699940643701949,0.19812099426711421,3,0
2,23,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.5,4,grid,100,13,0.13,0.07757167427240512,0.20980351440076428,3,0
2,24,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.5,5,grid,100,53,0.53,0.4328885697009936,0.6248918204065872,3,0
2,25,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.5,6,grid,100,12,0.12,0.0699940643701949,0.19812099426711421,3,0
2,26,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.5,7,grid,100,6,0.06,0.027786123963188192,0.1247681544589592,3,0
2,27,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.5,8,grid,100,11,0.11,0.06254196357064568,0.18631296503080313,3,0
2,28,R4_sparse,0.0,2,grid,R4_sparse,0.0,42,anchor,100,11,0.11,0.06254196357064568,0.18631296503080313,3,0
2,29,R4_sparse,0.0,2,grid,R4_sparse,0.5,42,anchor,100,9,0.09,0.04807254000256516,0.1622621285271631,3,0
2,30,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.0,42,anchor,100,19,0.19,0.12514751509768735,0.27778845379064376,3,0
2,31,R4_sparse,0.0,2,grid,R7_kitchen_sink,0.5,42,anchor,100,51,0.51,0.4134801193402717,0.6057800106955886,3,0
3,0,R4_sparse,0.0,3,grid,R4_sparse,0.0,0,grid,100,97,0.97,0.9154806357094724,0.9897454759759611,3,0
3,1,R4_sparse,0.0,3,grid,R4_sparse,0.0,1,grid,100,73,0.73,0.63567883232055,0.8073041585042364,3,0
3,2,R4_sparse,0.0,3,grid,R4_sparse,0.0,2,grid,100,50,0.5,0.4038315303659956,0.5961684696340044,3,0
3,3,R4_sparse,0.0,3,grid,R4_sparse,0.0,3,grid,100,29,0.29,0.2101483574912227,0.3853889117557111,3,1
3,4,R4_sparse,0.0,3,grid,R4_sparse,0.0,4,grid,100,18,0.18,0.11700225498946351,0.2666735838630073,3,0
3,5,R4_sparse,0.0,3,grid,R4_sparse,0.5,0,grid,100,18,0.18,0.11700225498946351,0.2666735838630073,3,0
3,6,R4_sparse,0.0,3,grid,R4_sparse,0.5,1,grid,100,23,0.23,0.15843265880303448,0.3215438302287378,3,0
3,7,R4_sparse,0.0,3,grid,R4_sparse,0.5,2,grid,100,17,0.17,0.10893566114059931,0.25548004767601123,3,0
3,8,R4_sparse,0.0,3,grid,R4_sparse,0.5,3,grid,100,69,0.69,0.5937394428051057,0.7722030278762395,3,0
3,9,R4_sparse,0.0,3,grid,R4_sparse,0.5,4,grid,100,11,0.11,0.06254196357064568,0.18631296503080313,3,0
3,10,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.0,0,grid,100,14,0.14,0.08526343659939135,0.22137188210963837,3,0
3,11,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.0,1,grid,100,6,0.06,0.027786123963188192,0.1247681544589592,3,0
3,12,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.0,2,grid,100,14,0.14,0.08526343659939135,0.22137188210963837,3,0
3,13,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.0,3,grid,100,15,0.15,0.09305985283656631,0.23283559590832364,3,0
3,14,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.0,4,grid,100,11,0.11,0.06254196357064568,0.18631296503080313,3,0
3,15,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.0,5,grid,100,5,0.05,0.02154367915436796,0.11175046923191913,3,0
3,16,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.0,6,grid,100,10,0.1,0.0552291370606751,0.17436566150491345,3,0
3,17,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.0,7,grid,100,17,0.17,0.10893566114059931,0.25548004767601123,3,0
3,18,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.0,8,grid,100,18,0.18,0.11700225498946351,0.2666735838630073,3,0
3,19,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.5,0,grid,100,14,0.14,0.08526343659939135,0.22137188210963837,3,0
3,20,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.5,1,grid,100,12,0.12,0.0699940643701949,0.19812099426711421,3,0
3,21,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.5,2,grid,100,7,0.07,0.03431926106727268,0.137495147390735,3,0
