seeker_reward,seeker_A,n,wr,se,ci_lo,ci_hi
R4_sparse,0.0,18600,0.2586021505376344,0.0032105930035021307,0.25230950388175394,0.2648947971935149
R4_sparse,0.5,18600,0.2528494623655914,0.0031869745971961037,0.24660310693544302,0.2590958177957398
R7_kitchen_sink,0.0,31000,0.6199677419354839,0.00275685503904125,0.6145644053483652,0.6253710785226025
R7_kitchen_sink,0.5,31000,0.7581612903225806,0.0024319960485097636,0.7533946656569578,0.7629279149882034
