run_id,reward,A,seed,anchor_wr,own_wr,label
R7_kitchen_sink_A0_s3,R7_kitchen_sink,0.0,3,0.5666666666666667,1.0,healthy
R7_kitchen_sink_A0_s4,R7_kitchen_sink,0.0,4,0.21666666666666665,0.2333333333333333,basin
R7_kitchen_sink_A0_s5,R7_kitchen_sink,0.0,5,0.4166666666666667,1.0,over-specialization
R7_kitchen_sink_A0_s6,R7_kitchen_sink,0.0,6,0.9666666666666667,1.0,healthy
R7_kitchen_sink_A0_s7,R7_kitchen_sink,0.0,7,0.925,0.9666666666666668,healthy
R7_kitchen_sink_A0_s8,R7_kitchen_sink,0.0,8,0.5916666666666667,1.0,healthy
R7_kitchen_sink_A0_s9,R7_kitchen_sink,0.0,9,0.3,0.9666666666666668,over-specialization
R7_kitchen_sink_A10_s0,R7_kitchen_sink,0.1,0,0.9166666666666667,1.0,healthy
R7_kitchen_sink_A10_s1,R7_kitchen_sink,0.1,1,0.3916666666666666,1.0,over-specialization
R7_kitchen_sink_A10_s2,R7_kitchen_sink,0.1,2,0.6083333333333334,1.0,healthy
R7_kitchen_sink_A10_s3,R7_kitchen_sink,0.1,3,0.6833333333333333,0.9666666666666668,healthy
R7_kitchen_sink_A10_s4,R7_kitchen_sink,0.1,4,0.5166666666666666,1.0,healthy
R7_kitchen_sink_A10_s5,R7_kitchen_sink,0.1,5,0.9916666666666667,0.9333333333333332,healthy
R7_kitchen_sink_A10_s6,R7_kitchen_sink,0.1,6,0.6416666666666666,1.0,healthy
R7_kitchen_sink_A10_s7,R7_kitchen_sink,0.1,7,0.375,1.0,over-specialization
R7_kitchen_sink_A10_s8,R7_kitchen_sink,0.1,8,0.9416666666666667,1.0,healthy
R7_kitchen_sink_A10_s9,R7_kitchen_sink,0.1,9,0.6416666666666667,1.0,healthy
R7_kitchen_sink_A25_s0,R7_kitchen_sink,0.25,0,0.9916666666666667,1.0,healthy
R7_kitchen_sink_A25_s1,R7_kitchen_sink,0.25,1,1.0,1.0,healthy
R7_kitchen_sink_A25_s2,R7_kitchen_sink,0.25,2,0.425,1.0,over-specialization
R7_kitchen_sink_A25_s3,R7_kitchen_sink,0.25,3,0.5916666666666666,1.0,healthy
R7_kitchen_sink_A25_s4,R7_kitchen_sink,0.25,4,0.95,1.0,healthy
R7_kitchen_sink_A25_s5,R7_kitchen_sink,0.25,5,0.9833333333333334,1.0,healthy
R7_kitchen_sink_A25_s6,R7_kitchen_sink,0.25,6,0.32500000000000007,1.0,over-specialization
R7_kitchen_sink_A25_s7,R7_kitchen_sink,0.25,7,0.9833333333333333,1.0,healthy
R7_kitchen_sink_A25_s8,R7_kitchen_sink,0.25,8,0.3583333333333333,1.0,over-specialization
R7_kitchen_sink_A25_s9,R7_kitchen_sink,0.25,9,0.8916666666666666,0.9666666666666668,healthy
R7_kitchen_sink_A50_s0,R7_kitchen_sink,0.5,0,1.0,1.0,healthy
R7_kitchen_sink_A50_s1,R7_kitchen_sink,0.5,1,0.8,1.0,healthy
R7_kitchen_sink_A50_s10,R7_kitchen_sink,0.5,10,0.8416666666666667,1.0,healthy
R7_kitchen_sink_A50_s11,R7_kitchen_sink,0.5,11,0.7416666666666667,0.9,healthy
R7_kitchen_sink_A50_s12,R7_kitchen_sink,0.5,12,0.9916666666666667,1.0,healthy
R7_kitchen_sink_A50_s13,R7_kitchen_sink,0.5,13,0.36666666666666664,1.0,over-specialization
R7_kitchen_sink_A50_s14,R7_kitchen_sink,0.5,14,0.9583333333333334,1.0,healthy
