reward,A,seed,opponent,wr,wins,episodes,mean_path_len,mean_dist
R4_sparse,0.0,0,anchor_R4_A00,0.1,3,30,39.90887069702149,20.82857475810685
R4_sparse,0.0,0,anchor_R4_A50,0.1666666666666666,5,30,35.397151947021484,19.052581990043663
R4_sparse,0.0,0,anchor_R7_A00,0.0666666666666666,2,30,32.982078552246094,21.859132174094515
R4_sparse,0.0,0,anchor_R7_A50,0.9666666666666668,29,30,24.29206657409668,6.308306739677206
R4_sparse,0.0,0,own,0.8666666666666667,26,30,29.50423049926757,5.831647376917823
R4_sparse,0.0,1,anchor_R4_A00,0.1,3,30,44.54694747924805,14.060314701862216
R4_sparse,0.0,1,anchor_R4_A50,0.0666666666666666,2,30,43.81890487670898,24.21329591619607
R4_sparse,0.0,1,anchor_R7_A00,0.2666666666666666,8,30,33.614864349365234,12.887967965110365
R4_sparse,0.0,1,anchor_R7_A50,0.0,0,30,35.14949417114258,27.60290747070313
R4_sparse,0.0,1,own,0.1666666666666666,5,30,39.04597091674805,21.90988597458869
R4_sparse,0.0,2,anchor_R4_A00,0.1666666666666666,5,30,33.947059631347656,14.85528313617602
R4_sparse,0.0,2,anchor_R4_A50,0.0666666666666666,2,30,39.18009948730469,22.87207326367407
R4_sparse,0.0,2,anchor_R7_A00,0.1,3,30,30.72092628479004,18.55411486132733
R4_sparse,0.0,2,anchor_R7_A50,0.6333333333333333,19,30,26.41215133666992,8.938187043897177
R4_sparse,0.0,2,own,0.5333333333333333,16,30,34.679988861083984,6.5321788339751885
R4_sparse,0.0,3,anchor_R4_A00,0.0333333333333333,1,30,41.77162170410156,21.58196911860448
R4_sparse,0.0,3,anchor_R4_A50,0.1,3,30,39.19137191772461,19.8564617194518
R4_sparse,0.0,3,anchor_R7_A00,0.1666666666666666,5,30,31.59332847595215,19.949093476782807
R4_sparse,0.0,3,anchor_R7_A50,0.9333333333333332,28,30,27.57219886779785,7.4864394421034275
R4_sparse,0.0,3,own,0.4,12,30,44.89876556396485,9.43019457804442
R4_sparse,0.0,4,anchor_R4_A00,0.5666666666666667,17,30,37.399662017822266,8.019223251996141
R4_sparse,0.0,4,anchor_R4_A50,0.1666666666666666,5,30,39.72153854370117,24.13334988196691
R4_sparse,0.0,4,anchor_R7_A00,0.8,24,30,26.74285888671875,7.449201462812326
R4_sparse,0.0,4,anchor_R7_A50,0.0333333333333333,1,30,31.4243278503418,21.811170107160297
R4_sparse,0.0,4,own,0.1,3,30,46.6801986694336,21.882090294610887
R4_sparse,0.5,0,anchor_R4_A00,0.1,3,30,43.04022979736328,16.429555618273483
R4_sparse,0.5,0,anchor_R4_A50,0.1666666666666666,5,30,40.054683685302734,14.063396946195574
R4_sparse,0.5,0,anchor_R7_A00,0.2666666666666666,8,30,28.16654396057129,13.454117091960777
R4_sparse,0.5,0,anchor_R7_A50,0.5,15,30,30.98626708984375,9.983465988108843
R4_sparse,0.5,0,own,0.2,6,30,52.35493469238281,9.915169865528442
R4_sparse,0.5,1,anchor_R4_A00,0.1,3,30,44.58462142944336,14.20688316170464
R4_sparse,0.5,1,anchor_R4_A50,0.1666666666666666,5,30,36.34537124633789,21.8202361042386
R4_sparse,0.5,1,anchor_R7_A00,0.4,12,30,25.7580680847168,11.22309326685086
R4_sparse,0.5,1,anchor_R7_A50,0.0333333333333333,1,30,36.13139724731445,26.97653199307124
R4_sparse,0.5,1,own,0.1666666666666666,5,30,45.04519271850586,14.958801459271069
R4_sparse,0.5,2,anchor_R4_A00,0.1666666666666666,5,30,42.60652160644531,18.10261770854677
R4_sparse,0.5,2,anchor_R4_A50,0.0666666666666666,2,30,41.778202056884766,18.189907851965003
R4_sparse,0.5,2,anchor_R7_A00,0.1666666666666666,5,30,36.05748748779297,19.11242349094333
R4_sparse,0.5,2,anchor_R7_A50,0.0333333333333333,1,30,33.66392135620117,27.329584605216976
R4_sparse,0.5,2,own,0.4,12,30,44.14872360229492,8.245656267194239
R4_sparse,0.5,3,anchor_R4_A00,0.1,3,30,46.463600158691406,18.48770766169265
R4_sparse,0.5,3,anchor_R4_A50,0.2,6,30,38.54007339477539,13.519523572117569
