hider_survival,hider_mean_steps,hider_path_len,hider_speed,hider_mean_dist,hider_frac_center,hider_frac_wall,reward,A,seed,probe
0.2666666666666667,114.76666666666667,30.381420135498047,0.2852761550420802,7.499658788474799,0.04346134506599622,0.8630461599387184,R4_sparse,0.0,0,probe_R7_A00
0.9333333333333333,187.6,36.37288284301758,0.20220085318475703,20.950409246330587,0.02955128205128205,0.9149999999999999,R4_sparse,0.0,0,probe_R4_A00
0.23333333333333328,117.96666666666667,33.57701873779297,0.28784069546071334,7.945098283883638,0.0634662689866301,0.8305629626173859,R4_sparse,0.0,1,probe_R7_A00
0.8333333333333334,168.46666666666667,31.351245880126953,0.2135174787772166,19.175640021295944,0.0031666666666666666,0.9613333333333334,R4_sparse,0.0,1,probe_R4_A00
0.1333333333333333,92.36666666666666,27.279918670654297,0.31931240308472514,6.536177079193492,0.0031488978857399912,0.9201926356351543,R4_sparse,0.0,2,probe_R7_A00
0.9,180.56666666666666,44.47577667236328,0.2575482411737795,21.179828425654655,0.013666666666666667,0.9328518518518519,R4_sparse,0.0,2,probe_R4_A00
0.3666666666666667,135.2,42.217716217041016,0.3181006288445712,9.267235018199845,0.05477937629355464,0.8392804849237295,R4_sparse,0.0,3,probe_R7_A00
0.5666666666666667,152.7,40.79388427734375,0.28852861533029617,11.063651068261995,0.036845920543817766,0.9027446430126002,R4_sparse,0.0,3,probe_R4_A00
0.4,103.7,29.133930206298828,0.29836809899254424,7.534718213409658,0.045148148148148146,0.8955555555555555,R4_sparse,0.0,4,probe_R7_A00
0.5666666666666667,145.36666666666667,36.98024368286133,0.267061633393379,10.28203573346388,0.008587523277467413,0.9658691806331471,R4_sparse,0.0,4,probe_R4_A00
0.09999999999999998,67.66666666666667,20.65035057067871,0.3179736256318163,5.018930637527686,0.06367600558009764,0.7309268994071456,R4_sparse,0.5,0,probe_R7_A00
0.8,162.13333333333333,42.60615539550781,0.2720400090996308,17.049329271593372,0.04066666666666666,0.8951666666666668,R4_sparse,0.5,0,probe_R4_A00
0.033333333333333326,52.166666666666664,16.73813247680664,0.3314142181267851,4.495172435772264,0.06468172347135147,0.7970364708324019,R4_sparse,0.5,1,probe_R7_A00
