update,timesteps,episodes,seeker_reward_mean,seeker_reward_std,hider_reward_mean,hider_reward_std,episode_length_mean,seeker_win_rate,hider_win_rate,seeker_policy_loss,seeker_value_loss,hider_policy_loss,hider_value_loss,fps
10,163840,902,-1.3603026,8.26956,2.1644154,8.544053,160.82261640798225,0.3436807095343681,0.656319290465632,-0.047697290778160095,0.2933982014656067,-0.04719194024801254,0.3028533458709717,733.2210084966483
20,327680,2472,6.7379203,6.8297496,-6.2009454,7.0696015,107.39490445859873,0.802547770700637,0.19745222929936307,-0.04249958321452141,0.6105189323425293,-0.04634276404976845,0.6091703176498413,753.1856467444233
30,491520,4904,9.973276,2.0918965,-9.629395,2.1956441,68.77631578947368,0.9851973684210527,0.014802631578947368,-0.04102557897567749,0.7822504639625549,-0.044438436627388,0.8000243902206421,765.7939116306122
31,507904,5152,10.176246,1.1087364,-9.854169,1.1798271,64.41532258064517,0.9959677419354839,0.004032258064516129,-0.04161826893687248,0.7023928165435791,-0.04623812064528465,0.7162723541259766,769.9016920717078
