id,source,reward,A,seed,ts_dir,row_mean_wr,col_mean_wr_as_hider,U1_seeker,U2_seeker,V1_hider,V2_hider
0,grid,R4_sparse,0.0,0,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A00/seed_0/20260508_194241,0.22013104838709677,0.5482560483870969,-0.20660410301872756,-0.0005006814216649835,0.12705547864133004,-0.12925784546372937
1,grid,R4_sparse,0.0,1,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A00/seed_1/20260508_194241,0.23912298387096773,0.5647479838709677,-0.18061506845349934,0.0692819926594497,0.1301214299896981,-0.10153201032668496
2,grid,R4_sparse,0.0,2,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A00/seed_2/20260508_194241,0.21558971774193547,0.5221522177419355,-0.20516870871869752,0.04294357118428088,0.14350084392201154,-0.06304208650302036
3,grid,R4_sparse,0.0,3,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A00/seed_3/20260508_230843,0.2436693548387097,0.49116935483870977,-0.1964952570824796,-0.03724775625427803,0.12687826045171516,-0.19577184494895067
4,grid,R4_sparse,0.0,4,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A00/seed_4/20260508_230843,0.3717237903225806,0.4985987903225806,-0.08005922462472152,0.29795989697314124,0.15592961075728812,-0.19866786082972693
5,grid,R4_sparse,0.5,0,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A50/seed_0/20260508_194241,0.2023588709677419,0.508608870967742,-0.21262043735352829,0.02252018841439246,0.17336777885134846,0.020364348499829016
6,grid,R4_sparse,0.5,1,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A50/seed_1/20260508_194241,0.24934475806451614,0.568719758064516,-0.1708076684555753,0.09957066939325315,0.18731953096762405,0.13777358079506608
7,grid,R4_sparse,0.5,2,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A50/seed_2/20260508_194241,0.2271471774193548,0.4502721774193548,-0.19170487746480075,-0.0184576595031783,0.17295502242534028,-0.1565423330721097
8,grid,R4_sparse,0.5,3,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A50/seed_3/20260508_230833,0.2037701612903226,0.5575201612903227,-0.2138825749978667,0.009768751203432836,0.15139568482354399,-0.13351797316345887
9,grid,R4_sparse,0.5,4,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A50/seed_4/20260508_230833,0.43480342741935485,0.5926159274193549,-0.061088236918059424,0.1837293410939815,0.2124453743503897,0.26062223988215194
10,grid,R7_kitchen_sink,0.0,0,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A00/seed_0/20260508_194241,0.5097883064516129,0.4766633064516129,-0.030706133323947893,-0.2762233404991479,0.16726213540974832,-0.2666446292827673
11,grid,R7_kitchen_sink,0.0,1,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A00/seed_1/20260508_194241,0.8117993951612903,0.5033618951612904,0.19434502718200272,0.08273790046058102,0.21119598838146217,0.11905125477200328
