wr,mean_tag_time,mean_path_len,mean_speed,mean_dist,frac_center,frac_wall,final_radius,wr_ref28,wr_ref29,wr_ref30,wr_ref31,id,source,reward,A,seed,beh_PC1,beh_PC2,U1_seeker,U2_seeker
0.3416666666666667,27.883333333333333,35.3940315246582,0.24786679685387797,16.7413749617908,0.07145454759126241,0.7296233765897185,18.999026775360107,0.06666666666666667,0.13333333333333333,0.16666666666666666,1.0,0,grid,R4_sparse,0.0,0,3.1167941048896757,1.482029871661633,-0.2066041030187275,-0.0005006814216649
0.18333333333333332,15.879166666666666,43.775739669799805,0.271292081399672,17.79804069093395,0.09908820346320346,0.6503444820545884,15.432894468307495,0.3,0.13333333333333333,0.16666666666666666,0.13333333333333333,1,grid,R4_sparse,0.0,1,2.2536620934579075,-0.7361921697535881,-0.1806150684534993,0.0692819926594497
0.2583333333333333,37.13928571428572,35.607680320739746,0.23970270839813498,15.060280010121087,0.09179097703856819,0.6804997011451634,17.463609218597412,0.23333333333333334,0.16666666666666666,0.16666666666666666,0.4666666666666667,2,grid,R4_sparse,0.0,2,2.573254530634028,0.7556792344133721,-0.2051687087186975,0.0429435711842808
0.3666666666666667,36.824137931034485,37.13420820236206,0.25514816045176186,16.04836256679875,0.07468259775554192,0.7165481732211706,18.842520236968994,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.9666666666666667,3,grid,R4_sparse,0.0,3,2.904870538040001,1.3175315832038996,-0.1964952570824796,-0.037247756254278
0.4416666666666667,50.38695652173913,39.319119930267334,0.2711483284641746,14.834424447355993,0.09744822556214212,0.6510081899923621,17.980268478393555,0.7666666666666667,0.16666666666666666,0.7666666666666667,0.06666666666666667,4,grid,R4_sparse,0.0,4,2.117444151480213,0.7464884116141919,-0.0800592246247215,0.2979598969731412
0.13333333333333333,32.23863636363636,52.265517234802246,0.2850725031659359,15.720843942053929,0.212491358249262,0.384261745457115,13.457051753997803,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.36666666666666664,5,grid,R4_sparse,0.5,0,0.09822126512283909,-2.9168665605057496,-0.2126204373535282,0.0225201884143924
0.18333333333333332,29.533333333333335,41.91636562347412,0.2574217990948493,18.094834347705177,0.07295833333333332,0.6925042369590109,15.611011505126953,0.16666666666666666,0.16666666666666666,0.3,0.1,6,grid,R4_sparse,0.5,1,2.798332699782947,-0.40963244485242306,-0.1708076684555753,0.0995706693932531
0.14166666666666666,8.791666666666666,43.1507568359375,0.2550465626932589,20.65127791586578,0.11172773279352226,0.5674166666666667,17.33375644683838,0.2,0.23333333333333334,0.06666666666666667,0.06666666666666667,7,grid,R4_sparse,0.5,2,2.6137642310963773,-0.3329240046898019,-0.1917048774648007,-0.0184576595031783
0.21666666666666667,45.84166666666667,47.694586753845215,0.2808764085018827,16.361924888922395,0.10427663867117015,0.5703494551546081,15.995292901992798,0.16666666666666666,0.2,0.1,0.4,8,grid,R4_sparse,0.5,3,1.8458083635043094,-0.8413902374500452,-0.2138825749978667,0.0097687512034328
0.5499999999999999,76.4675925925926,43.14145469665527,0.30889092390189815,10.789099140489661,0.10639615106935127,0.6147288370738874,16.6258442401886,0.6,0.1,0.6,0.9,9,grid,R4_sparse,0.5,4,0.9168882472662756,0.19820705771269428,-0.0610882369180594,0.1837293410939815
0.5666666666666667,71.7725,41.10326337814331,0.3239540705895698,10.232204783368758,0.2668610841056803,0.27351352712612337,12.556137800216675,0.13333333333333333,1.0,0.3,0.8333333333333334,10,grid,R7_kitchen_sink,0.0,0,-2.2789561538011096,-2.3537142663386326,-0.0307061333239478,-0.2762233404991479
0.8500000000000001,74.87911764705882,30.31095314025879,0.33580282338283457,6.806138092908061,0.2133105548654476,0.30998906858861186,16.04993438720703,1.0,0.8333333333333334,1.0,0.5666666666666667,11,grid,R7_kitchen_sink,0.0,1,-2.1930864042726377,0.3860061368446542,0.1943450271820027,0.082737900460581
0.9416666666666667,90.72789855072463,32.69919013977051,0.3386388479638126,7.366235261136245,0.1667670041557876,0.37310801161626717,17.762553691864014,1.0,0.7666666666666667,1.0,1.0,12,grid,R7_kitchen_sink,0.0,2,-1.3323442288877412,1.1581936508560704,0.2585051595573275,0.0076681520390037
0.575,49.88134578544061,38.621145248413086,0.3120312944649376,7.233352692117425,0.1824744099395612,0.3249873990241299,14.568989992141724,0.8,0.23333333333333334,0.9666666666666667,0.3,13,grid,R7_kitchen_sink,0.0,3,-1.4179309773696718,-0.7892695728746806,-0.0058434122338288,0.3810635556365206
0.15833333333333333,17.205357142857146,53.95953941345215,0.31699808633654025,11.217525485904762,0.18662788259958069,0.22899426333249587,11.852026462554932,0.23333333333333334,0.03333333333333333,0.23333333333333334,0.13333333333333333,14,grid,R7_kitchen_sink,0.0,4,-1.2646417061171855,-3.354771769286543,-0.1564860215004271,0.0483363507248772
0.5,81.61923076923077,43.05604791641235,0.31201018416673826,8.877688655749115,0.17761512323448952,0.41463245226795936,15.065189838409424,0.4,0.8333333333333334,0.3333333333333333,0.43333333333333335,15,grid,R7_kitchen_sink,0.0,5,-0.7263350351838964,-0.8986067161609382,0.0079580104265718,-0.215476372941083
0.9583333333333334,85.85499999999999,29.79778289794922,0.3395349056202204,7.654920620679366,0.10591337793231508,0.5640827066674264,17.817655086517334,1.0,0.8333333333333334,1.0,1.0,16,grid,R7_kitchen_sink,0.0,6,-0.29024328881728606,1.9457887390675075,0.1193102700034286,0.1145694792244702
0.925,75.79375653082549,27.951783657073975,0.33740970794907477,5.937171903656426,0.15730636290571773,0.31021416343020985,16.403660535812378,0.9666666666666667,1.0,1.0,0.7333333333333333,17,grid,R7_kitchen_sink,0.0,7,-1.8889449252985975,1.052362765882208,0.1897385322974915,0.0521492949510414
0.6166666666666667,40.62494775339603,35.74364519119263,0.3228404600516257,8.743003850059939,0.14499559897411754,0.31843766451075906,13.924830198287964,0.36666666666666664,1.0,0.13333333333333333,0.9666666666666667,18,grid,R7_kitchen_sink,0.0,8,-1.3024998019744398,-0.643379367395008,-0.0687062247283755,-0.2900789888265462
0.9916666666666667,70.96724137931035,25.11723017692566,0.35010409214228416,5.895805945372584,0.18342760146153972,0.31392297290666843,16.604456663131714,0.9666666666666667,1.0,1.0,1.0,19,grid,R7_kitchen_sink,0.5,0,-2.3409106872637464,1.2806107208010518,0.2919042207350842,-0.048120026480563
0.7166666666666667,108.30032467532467,43.03908634185791,0.3215209024129475,9.037194957345335,0.18685184486479312,0.36312190473736394,16.566158533096313,0.6666666666666666,0.5333333333333333,0.9333333333333333,0.7333333333333333,20,grid,R7_kitchen_sink,0.5,1,-0.9215478225071478,-0.39622269087609896,0.1763249009457781,-0.0081169876871537
1.0,58.21666666666667,20.912177562713623,0.356616127742554,5.115800871399968,0.1464416565485407,0.33822227546371203,16.705610036849976,1.0,1.0,1.0,1.0,21,grid,R7_kitchen_sink,0.5,2,-2.258820338589591,1.9430661569714798,0.2920417481962775,-0.0739448736755931
0.9333333333333333,76.27878787878788,29.68576145172119,0.3487323397444059,6.004483145909182,0.15196669018271625,0.39699855657369537,17.447568655014038,1.0,0.7333333333333333,1.0,1.0,22,grid,R7_kitchen_sink,0.5,3,-1.5530858381609962,1.493665040674942,0.2611950232185335,-0.0030446676328623
0.5,59.1735547061634,42.52555847167969,0.3028407026118659,9.760450656884425,0.14052517272939094,0.467949903568848,14.853078126907349,0.7666666666666667,0.23333333333333334,0.8666666666666667,0.13333333333333333,23,grid,R7_kitchen_sink,0.5,4,-0.0699730645778404,-0.76364588128033,-0.0283808269775579,0.3224219416307345
1.0,64.59166666666667,22.237606048583984,0.3449401770343117,5.722488217509656,0.16575777997966473,0.3891806544031322,16.938509225845337,1.0,1.0,1.0,1.0,24,grid,R7_kitchen_sink,0.5,5,-1.946767235813008,1.8045923835481221,0.2702268501725983,-0.0464441883391338
0.5083333333333333,62.6689393939394,40.830209255218506,0.305818118412901,10.77890191273063,0.22867033800415948,0.4641824719842337,14.060415506362915,0.7333333333333333,0.16666666666666666,1.0,0.13333333333333333,25,grid,R7_kitchen_sink,0.5,6,-0.8683420474931731,-1.436079855061884,0.0792544622974124,0.3026661820083061
0.975,92.01203703703703,31.726813793182373,0.3390038809801575,7.002325158576082,0.2131502041718777,0.3104146645818226,17.606310844421387,1.0,1.0,1.0,0.9,26,grid,R7_kitchen_sink,0.5,7,-1.997815697345171,0.876792094946134,0.256797574034863,-0.0332799608975385
0.5,44.93541666666667,39.62031936645508,0.3011815226141556,12.045584376784037,0.08093659377966553,0.5855544885696218,15.001418352127075,0.8,0.06666666666666667,1.0,0.13333333333333333,27,grid,R7_kitchen_sink,0.5,8,0.9783562018211005,-0.141569998150639,-0.0354612255331258,0.3907672196455447
